question,non question
What other film city struggled as Jacksonville grew in popularity,
What was Hollywood known as,
What former studio in Jacksonville has been converted to a modern film Museum,
What drove residents to quieter suburban housing,
What was the white population of Jacksonville as of 2010,
What term referred to middle class citizens leaving the suburbs,
Who was responsible for the new building projects in Jacksonville,
Jacksonville began to suffer and decline after what major world event,
What did Jacksonville suffer from following World War I,
Construction of what led residents to move from the suburbs,
By how much did Jacksonville's Hispanic white population decline? Call,
What began to decline after World War I,
What was it called when Jacksonville's white population moved to the city,
What was the cause for the issues with city funding,
In what part of the city did residents suffer from a lack of city services,
What was the proposed solution to Jacksonville's tax issues,
Who voted against Jacksonville's annexation,
What cause city funding to increase,
Where were most municipal services concentrated at,
In what year was it suggested the Jacksonville stop annexing outlying communities,
Who voted for Jacksonville's annexation,
How were most city officials elected in the 1960s,
How many city officials were indicted due to corruption,
What political group began to gain support following the corruption scandal,
What spurred increased support for government reform,
How are most city officials elected after the 1960s,
How many former city officials were investigated by the grand jury,
What political group begin to lose support following the corruption scandals,
What happened when public high schools gained accreditation,
What were the reasons not to consolidate the government,
What was the result of the 1967 referendum,
Who was Jacksonville's mayor at the time of the consolidation,
What was Jacksonville referred to as after the consolidation,
What was the name of the approved measure that helped cover the cost of major city projects,
How did the Better Jacksonville Plan generate money,
What do voters reject in 1967,
What was formed when the government merged in 1967,
Was services were not consolidated under the new government,
What was Jacksonville referred to before the consolidation,
What is the land area of Jacksonville,
What river separates Jacksonville,
What is the name of the river that is completely contained inside Jacksonville,
How much of Jacksonville is made up of water,
What town is surrounded by Jacksonville,
Was sitting is 874.3 km²,
What River surrounds Jacksonville,
What makes up 11.6% of Jacksonville,
What is the name of the river that lies completely outside of Jacksonville,
What town surrounds Jacksonville,
What distinction does the Bank of America Tower hold,
The Bank of America Tower was previously known as what,
How tall is the Bank of America Tower,
How many floors are there in the building that was completed in 1967,
What makes the Wells Fargo Center stand out,
In the shortest building in downtown Jacksonville,
Building a 617 m tall,
What thirty-seven story building was built in 1972,
How many stories does the Bank of America tower have,
What type of climate does Jacksonville have,
When does rain typically fall in Jacksonville,
How is winter weather in Jacksonville described as,
"Aside from being located on the coast, what contributes to Jacksonville's lack of cold weather",
Was city has a tropical climate,
What kind of winters does Jacksonville have along with hot and dry summers,
What is concentrated in the coldest months of the year,
High altitude as well as what contributes to Jacksonville's lack of cold-weather question work,
What is Jacksonville's hottest recorded temperature,
What is a common occurrence during summer days,
What else contributes to Jacksonville's summer storms other than land heating beside the water,
What is Jacksonville's hottest month on average,
What is Jacksonville's highest recorded monthly temperature,
What kind of storms are common in the fall,
Low humidity and what lead to Jacksonville's storms,
My ways Jacksonville's coldest month on record,
What storm had the most significant impact on Jacksonville,
How fast were the winds around St. Augustine in the 1964 hurricane,
What was the name of the storm that hit Jacksonville in May of 2012,
What is the scale used to measure the strength of hurricanes called,
In what year did a tropical storm cause a four day loss of power to Jacksonville,
What hurricane had less effect on Jacksonville than other cities along the coast,
How high were the winds around St. Augustine during the 1871 hurricane,
What storm crisscrossed the state hitting Jacksonville in 1964,
What P or was damaged during the 2008 tropical storm Fay,
Hurricane Dora caused a minor what,
What ethnic group located in Jacksonville is ranked tenth largest,
How many residents were recorded in the 2010 census of Jacksonville,
"Compared to the rest of Florida, how does Jacksonville's Filipino population rank",
What Jacksonville community is known for having heavy ties to the Navy,
In what city or the Arabs the twelve largest ethnic group,
"In what year were there 366,233 people in Jacksonville",
Where else is there a smaller Filipino population that in Jacksonville,
In what year were there 5751 Filipinos in Jacksonville,
What military branch does much of Jacksonville's Arab population have ties to,
What portion of households in Jacksonville have only one person,
How many of Jacksonville's city residents are younger than 18,
Which gender is more populous across all groups in Jacksonville,
How many men older than 18 are there for every 100 women,
"What year was 366,273 people in Jacksonville",
How many of Jacksonville city's residents are older than eighteen,
How many women older than eighteen are there for every 100 men,
Where was the average household size was 3.21,
What percentage of married couples had children living with them,
What percentage of global assets does the richest 1% of people have,
"According to Oxfam, the 85 richest people have wealth equal to how many average people",
"In order to be considered in the top percentile, a person would need to amass how much money each year",
What has caused Oxfam's findings to be questioned,
Why does Oxfam and Credit Suisse believe their findings are being doubted,
What percent of the global assets in 2000 were owned by just 1% of adults,
What do the three richest people in the world posses more of than the lowest 48 nations together,
"How much was the combined wealth of the ""10 Million dollar millionaires"" in 2008",
How much of the global wealth will the wealthiest 1 percent own by 2016,
Why are there more poor people in the United States and Europe than China,
What percentage of global assets does the richest 10% of people have,
"According to Oxfam, the 58 richest people have wealth equal to how many average people",
"In order to be considered in the bottom percentile, a person would need to amass how much money each year",
What has caused Oxfam's findings to not be questioned,
Why does Oxfam and Credit Suisse believe their findings are being accepted,
How many Americans are richer than more than half of all citizens,
What publication printed that the wealthiest 1% have more money than those in the bottom 90%,
What is considered as a potential advantage for wealth for some Americans,
What did the richest 400 Americans have as children that helped them be successful adults,
What do the top 400 richest Americans have more of than half of all Americans combined,
Who owns more wealth than the bottom 90 percent of people in the U.S.,
What may explain why some Americans who've become rich may have had a head start,
How many of the richest 400 Americans grew up in substantial privilege,
What Institute published findings in September 2012 regarding the Forbes richest 400 Americans,
How many Americans are richer than less than half of all citizens,
What publication printed that the wealthiest 1% have more money than those in the bottom 99%,
What is considered as a potential disadvantage for wealth for some Americans,
What did the richest 40 Americans have as children that helped them be successful adults,
What do the top 400 richest Americans have less of than half of all Americans combined,
What philosophy of thought  addresses wealth inequality,
What is income inequality attributed to,
What impacts distribution of wealth when evaluating labor,
What is the term that describes the difference between what higher paid and lower paid professionals earn,
How is income determined in a market with variously skilled workers,
What did Neoclassical economics view the inequality in the distribution of income as being from,
What is distribution of income from labor due to the differences of,
What does the marginal value added by an economic actor determine,
What are examples of economic actors,
"In a market economy, what is inequality a reflection of",
What philosophy of thought addresses wealth equality,
What is income inequality not attributed to,
What impacts distribution of wealth when not evaluating labor,
What is the term that describes the indifference between what higher paid and lower paid professionals earn,
How is income determined in a market with variously unskilled workers,
What pushes businesses to increase pressures on workers,
What impact does workers working harder have on productivity of a business,
"When less workers are required, what happens to the job market",
What impact does higher worker productivity and leveled pay have on higher earners,
What do capitalist firms substitute equipment for in a Marxian analysis,
Why do firms substitute equipment for workers,
What trend increases the organic composition of capital over the long term,
What does the substitution of equipment for labor raise for workers,
What type of wages does mechanization and automation lead to,
What pushes businesses to decrease pressures on workers,
What impact does workers working less have on productivity of a business,
"When more workers are required, what happens to the job market",
What impact does higher worker productivity and leveled pay have on lower earners,
What don't capitalist firms substitute equipment for in a Marxian analysis,
What is controled by the market and economy,
Under what law is value of a worker determined,
What happens when business underpays their workers,
How do competing businesses attract workers,
How is income inequality generally viewed by workers,
What controls wages in a purely capitalist mode of production,
What do wages work in the same way as for any other good,
What can be considered as a function of market price of skill,
"What can concentrate wealth, pass environmental costs on to society and abuse both workers and consumers",
What type of outcomes can even stable markets lead to,
What is uncontroled by the market and economy,
What happens when business overpays their workers,
Under what law is value of a worker undetermined,
How do competing businesses repel workers,
How isn't income inequality generally viewed by workers,
What has the tendency to increase wages in a field or job position,
When there are many workers competing for a few jobs its considered as what,
What is the potential earnings for a job where there are few skilled workers but many available positions,
What can lead to higher wages for members of labor organizations,
Who works to get workers higher compensation,
What does many workers willing to work for a lot of time competing for a job that only requires a few workers result in,
What drives down wages in a job with many workers willing to work a lot,
Why does competition among workers drive down wages,
What type of wages result from jobs where there is low supply but high demand,
"While competition between workers drives down wages for jobs with a high supply of worker, whose competition drives wages up for the inverse",
What has the tendency to decrease wages in a field or job position,
When there are many workers competing for a many jobs its considered as what,
What is the potential earnings for a job where there are many skilled workers but many available positions,
What can lead to lower wages for members of labor organizations,
Who works to get workers lower compensation,
What increases with the increase of income inequality,
Survivial is at the heart of what concept for workers,
What type of motivators are food and shelter considered,
What type of motivators are achievement and self determination considered,
What type of entrepreneurship leads to advancements in technology,
What increases entrepreneurship rates at the individual level,
What is the increased rates of self-employment based on,
Survival needs such as income for food and shelter motivates what type of entrepreneurship? ,
What motivation is opportunity-based entrepreneurship driven by,
What type of impact does opportunity-based entrepreneurship tend to have on economic growth,
What decreases with the increase of income inequality,
Survivial isn't at the heart of what concept for workers,
What type of motivators aren't food and shelter considered,
What type of motivators are achievement and outside determination considered,
What type of entrepreneurship leads to a regression in technology,
What is it called when the tax rate and base amount increase simultaneously,
What tax rate has a direct relationship with income inequality,
What can work to even the distribution of wealth,
What system has an impact on income inequality,
"In a progressive tax, what increases as the taxable base amount increases",
What will have a direct impact of inequality in a system that uses a progressive tax,
What can result in more equal distribution of income,
What index is an indicator of the effects of taxes applied to social spending,
What is it called when the tax rate and base amount decrease simultaneously,
What tax rate has an indirect relationship with income inequality,
What can't work to even the distribution of wealth,
What system has no impact on income inequality,
"In a progressive tax, what increases as the taxable base amount decreases",
What is key to getting the skills needed for high demand jobs,
What do people with lower income have less access to,
What does less education lead to when working,
Who has limited productive potential when faced with less access to education,
What are those with lower incomes less likely to have in order to prepare for the future,
What is an important factor contributing to inequality for individuals,
What does education in an area where there is high demand for workers tend to create,
What type of wages do people unable to afford an education receive,
What does lack of education lead directly to,
What helps to unleash the productivity ability of the poor,
What is key to getting the skills needed for low demand jobs,
What do people with higher income have less access to,
What does more education lead to when working,
Who has limited productive potential when faced with more access to education,
What are those with lower incomes more likely to have in order to prepare for the future,
What did Standard & Poor recommend to speed economy recovery,
How much potential economic growth could the United States amass if everyone went through more schooling,
What is the United States at risk for because of the recession of 2008,
Who concluded that the rising income inequality gap was not getting better,
When did economists reach a conclusion with the S&P's rating agency,
When the recovery between the widening gap between the richest citizens and rest of the nation slow,
What did S&P recommend to somewhat remedy the wealth gap,
"If the average U.S. worker were to complete an additional year of school, what amount of growth would be generated over 5 years",
What does wealth disparity make the economy more prone to,
What did Standard & Poor recommend to slow economy recovery,
How much potential economic growth could the United States amass if everyone went through less schooling,
What is the United States at risk for because of the recession of 2000,
Who concluded that the rising income inequality gap was getting better,
When did economists reach a conclusion without the S&P's rating agency,
When did the high school education movement occur,
What impact did the high school education movement have on the presence of skilled workers,
What impact did the high school education movement have on the wages of skilled workers,
What impacts gender inequality in wages,
What contributed to the decreased inequality between trained and untrained workers,
When was the mass high school education movement,
What did the increase in skilled workers lead to,
How did the education during the high school education movement differ from the subsequent high school education,
What is very important for the growth of the economy,
What can result in creating a poverty trap,
When did the middle school education movement occur,
What impact did the high school education movement have on the presence of unskilled workers,
What impact did the high school education movement have on the wages of unskilled workers,
What doesn't impact gender inequality in wages,
What contributed to the increased inequality between trained and untrained workers,
What types of organizations are on a decline in the US which adversely effects economic mobility,
Which set of countries have higher economic mobility than the United States,
Under which policy are labor unions encouraged,
How much support is there for the US approach to economic development,
What is economic liberalism one of the causes of,
What does the U.S. economic and social model have substantial levels of,
What organization is John Schmitt and Ben Zipperer members of,
How much support does evidence provide for the view that labor-market flexibility improves labor-market outcomes,
What level of economic mobility does the U.S. economy have compared to European countries,
What types of organizations are on a decline in the US which adversely effects economic immobility,
Which set of countries have lower economic mobility than the United States,
Under which policy are labor unions discouraged,
How much support is there for the UN approach to economic development,
What is economic liberalism not one of the causes of,
What country has low income inequality and high presence of unions,
What do weak labor movement correlate with,
What has had a negative impact on the labor markets in the US,
What has presented problems to the US economy more than other nations,
What is the profession of Jake Rosenfield,
What college is Jake Rosenfield associated with,
What does Rosenfield feel plays the most significant role in expanding the income gap,
What rate of unionization do Scandinavian nations have,
What does high inequality go hand-in-hand with,
What country has low income inequality and low presence of unions,
What do strong labor movement correlate with,
What has had a negative impact on the labor markets in the UN,
What has presented problems to the UN economy more than other nations,
What isn't the profession of Jake Rosenfield,
What effect does trade with poorer countries have on the workers in richer countries,
What effect does trade with richer countries have on the workers in poorer countries,
What has a bigger impact on the United States' economy more than trade,
What has replaced lower skilled workers in the United States,
What scale does trade liberalization shift economic inequality from,
"When rich countries trade with poor countries, whose wages increase",
What does Paul Krugmen think has had an observable effect on inequality in the U.S.,
"Compared to other causes, the effect of trade on inequality in America is what",
What has technological innovation and automation replaced low-skilled jobs with,
What effect does trade with poorer countries have on the workers in poorer countries,
What has a smaller impact on the United States' economy more than trade,
What has replaced higher skilled workers in the United States,
What scale doesn't trade liberalization shift economic inequality from,
What is the income inequality gap between genders in Botswana,
What is the gender income inequality in Bahrain,
What is attributed to the income inequality in the United States,
Who does the wage gap between genders provide an advantage,
"In many countries, what kind of pay gap is there",
Who does a gender pay gap tend to favor,
What gender is less willing to travel or relocate for work,
"Who is the author of the book, ""Knowledge and Decisions""",
What does a U.S. census report state that even after other factors there still exists this between earnings of men and women,
What isn't the income inequality gap between genders in Botswana,
What isn't the gender income inequality in Bahrain,
What is attributed to the income inequality in the United Nations,
Who does the wage gap between genders provide a disadvantage,
"In many countries, what kind of pay gap isn't there",
What types of programs help to redistribute wealth,
What is the level of inequality in underdeveloped countries,
What introduces inequality to a country,
What leads to lower income inequality,
What profession does Simon Kuznets have,
What did Kuznets argue resulted from stages of development,
What does a country acquire as it develops,
What do the owners of more capital end up having,
What do redistribution mechanisms lead to,
What types of programs don't help to redistribute wealth,
What is the level of inequality in overdeveloped countries,
What doesn't introduce inequality to a country,
What leads to higher income inequality,
What profession doesn't Simon Kuznets have,
During what time period did income inequality decrease in the United States,
When did income inequality begin to increase in the US,
In what sector are jobs beginning to increase,
In what sector are jobs beginning to decrease,
Who plotted the relationships between levels of income and inequality,
What is a a developing economy's level of inequality bulging out called,
What has recent testing of Kuznets theory with superior data show it to be,
What does Kuznets' curve predict about income inequality given time,
What may be possible for multiple Kuznets' cycles to be in at any given time,
During what time period did income inequality increase in the United States,
When did income inequality begin to decrease in the US,
In what sector are jobs beginning to decrease,
In what sector are jobs beginning to increase,
Who never plotted the relationships between levels of income and inequality,
What process attributes new wealth to those that already have it,
"According to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth",
What has the highest impact on wealth accumulation and the resulting income inequality,
What tends to lead to more money,
Where does newly created wealth concentrate? ,
Who is best able to leverage the accumulation of wealth,
What can significantly contribute to the continuing inequality in a society over time,
"Who wrote the book ""Capital in the Twenty-First Century""",
What do larger fortunes generate,
What process attributes old wealth to those that already have it,
"According to the wealth concentration theory, what disadvantage do the wealthy have in accumulating new wealth",
What has the lowest impact on wealth accumulation and the resulting income inequality,
What tends to lead to less money,
Where does oldly created wealth concentrate? ,
What career does Joseph Stiglitz have,
What forces should serve as a brake on wealth concentration,
What type of skills does the market bid up compensation for,
What is used by certain wealthy groups to obtain policies financially beneficial for them,
Income not from the creation of wealth but by grabbing a larger share of it is know to economists by what term,
What career doesn't Joseph Stiglitz have,
What forces shouldn't serve as a brake on wealth concentration,
What type of skills does the market bid down compensation for,
What is used by certain unwealthy groups to obtain policies financially beneficial for them,
Income not from the creation of wealth but by grabbing a smaller share of it is know to economists by what term,
Higher rates of health and social problems are just two of examples of effects from what,
Why does a lower level of economic growth occur due to high-end consumption,
What is lower in countries with more inequality for the top 21 industrialized countries,
What is a lower rate of social goods an effect of,
"In U.S. states, what happens to the life expectancy in less economically equal ones",
Lower rates of health and social problems are just two of examples of effects from what,
Why does a higher level of economic growth occur due to high-end consumption,
What is higher in countries with more inequality for the top 21 industrialized countries,
What is a higher rate of social goods an effect of,
"In U.S. states, what happens to the life expectancy in more economically equal ones",
What year did Robert J. Shiller win an Economics Nobel prize,
What is the most important problem in the United States and elsewhere,
Persistent unemployment has what effect on long-term economic growth,
What's one factor in eroding self-esteem,
Policies which reduce the inequality associated effects of unemployment support what type of growth,
What year did Robert J. Shiller lose an Economics Nobel prize,
What is the least important problem in the United States and elsewhere,
What's one factor in increasing self-esteem,
Persistent unemployment has what effect on short-term economic growth,
Policies which reduce the inequality associated effects of unemployment hurt what type of growth,
What nationality are researchers Richard G. Wilkinson and Kate Pickett,
What rates of health and social problems are in countries with high inequality,
How are the rates of social goods in countries with higher inequality,
Health problems were lower in places with higher levels of what,
How many developed countries did British researchers use to gather statistics from,
What nationality aren't researchers Richard G. Wilkinson and Kate Pickett,
What rates of health and social problems are in countries with low inequality,
How are the rates of social goods in countries with lower inequality,
Health problems were higher in places with higher levels of what,
How many undeveloped countries did British researchers use to gather statistics from,
What did higher material living standards lead to for most of human history,
Where does the pattern of higher income-longer lives still hold true,
What increases rapidly as per capita income increases,
Who lives no longer on average than Greeks and New Zealanders,
How are incomes distributed in Sweden,
What did lower material living standards lead to for most of human history,
Where does the pattern of lower income-longer lives still hold true,
What decreases rapidly as per capita income increases,
Who lives longer on average than Greeks and New Zealanders,
How aren't incomes distributed in Sweden,
What characteristic in recent years has been strongly tied with health in developed countries,
Who created an index of health and social problems,
How many factors of health and social problems did Wilkinson and PIckett identify,
Where are health and social problems most common,
What does child well-being in rich countries correlate most to,
What characteristic in recent years has been weakly tied with health in developed countries,
Who rejected an index of health and social problems,
How many factors of health and social problems did Wilkinson and PIckett not identify,
Where are health and social problems least common,
What does child well-being in poor countries correlate most to,
What has crime rate been show to be correlated with in a society,
What is almost identical across all nations and jurisdictions,
Over how many studies have shown that violence is more common in societies with income differences,
How much of a difference in homicide rates are related to inequality,
What is it estimated that about half of all variation in homicide rates can be accounted for by,
What has crime rate been shown not to be correlated with in a society,
What is never identical across all nations and jurisdictions,
Over how many studies have shown that violence is less common in societies with income differences,
How much of a difference in homicide rates aren't related to inequality,
What is it estimated that about a third of all variation in homicide rates can be accounted for by,
What does the utilitarian principle seek for the greatest number of people,
An adobe that provides less utility to one person than another is an example of reduced what,
A dollar spent by a poor person is likely to provide what for them,
What the marginal utility of wealth per income per person do as that person becomes richer,
What will a society with more equality have,
What does the utilitarian principle seek for the lowest number of people,
An adobe that provides more utility to one person than another is an example of reduced what,
A dollar spent by a rich person is likely to provide what for them,
What the marginal utility of wealth per income per person do as that person becomes poorer,
What will a society with less equality have,
What do conservative researchers fell should be a measure of inequality,
What political leaning does the Cato Institute have,
When was consumption inequality lower than it had been in 1986,
"Who wrote ""The Hidden Prosperity of the Poor""",
What is Thomas B. Edsall's profession,
What do conservative researchers feel shouldn't be a measure of inequality,
What political leaning does the Cato Institute not have,
When was consumption inequality lower than it had been in 1968,
"Who never wrote ""The Hidden Prosperity of the Poor""",
What isn't Thomas B. Edsall's profession,
What is Raghuram Rajan's career,
What does Rajan feel has created deep financial fault lines,
What is the most recent example of financial fault lines? ,
What does political pressure push to extend to compensate for stagnating purchasing power,
"What has given the American economy a tendency to go ""from bubble to bubble""",
What isn't Raghuram Rajan's career,
What does Rajan feel hasn't created deep financial fault lines,
What is the oldest example of financial fault lines? ,
What doesn't political pressure push to extend to compensate for stagnating purchasing power,
"What hasn't given the American economy a tendency to go ""from bubble to bubble""",
What is negatively correlated to the duration of economic growth,
What do high levels of inequality  prevent beyond economic prosperity,
"What happens to the GDP growth of a country if the income share of the top 20 percent increases, according to IMF staff economists? ",
What does an increase in the income share of the bottom 20 percent of people of a society result in,
Who matters the most for economic growth,
What is positively correlated to the duration of economic growth,
What do low levels of inequality prevent beyond economic prosperity,
"What happens to the GDP growth of a country if the income share of the top 20 percent decreases, according to IMF staff economists? ",
What does an decrease in the income share of the bottom 20 percent of people of a society result in,
Who matters the least for economic growth,
What do David Castlles-Quintana and Vicente Royuela do for a living,
What does increasing inequality harm,
What was persistent unemployment have a negative effect on,
Why does unemployment harm growth,
Policies which try to control unemployment support economic growth because they reduce what,
What don't David Castlles-Quintana and Vicente Royuela do for a living,
What does decreasing inequality harm,
What was persistent unemployment have a positive effect on,
Why does unemployment help growth,
Policies which try to control unemployment support economic growth because they increase what,
What did Stiglitz present in 2009 regarding global inequality,
How does inequality prevent growth,
What are both Branko Milanovic and Joseph Stiglitz,
What has been the main reason for the shift to the view that income inequality harms growth,
What has become the secret to economic growth,
What did Stiglitz present in 2008 regarding global inequality,
How does inequality help growth,
What aren't both Branko Milanovic and Joseph Stiglitz,
What has been the main reason for the shift to the view that income inequality helps growth,
When did Galor and Zeria show new information about inequality,
Inequality in the presence of credit market imperfections has what kind of effect on human capital formation,
What did a 1996 study by Perotti examine,
What is inequality associated with higher levels of,
What do extremely unequal societies tend to be,
When did Galor and Zeria show old information about inequality,
nequality in the presence of credit market perfections has what kind of effect on human capital formation,
What did a 1969 study by Perotti examine,
What is inequality associated with lower levels of,
What do extremely equal societies tend to be,
What institution does Robert Barro hail from,
Barro found there is little relation between income inequality and rates of what,
What does high levels of inequality do to growth in poor countries,
What does high levels of inequality do for economic growth in richer countries,
When was a study conducted of Swedish counties,
What institution doesn't Robert Barro hail from,
Barro found there is much relation between income inequality and rates of what,
What does high levels of inequality do to growth in rich countries,
What does low levels of inequality do for economic growth in richer countries,
When wasn't a study conducted of Swedish counties,
What have studies on income inequality sometimes found evidence confirming,
"The Kuznets curve says with economic development, inequality will decrease after what",
Who challenges the notion of the Kuznets curve hypothesis,
What's Thomas Piketty's job,
What does Piketty feel was the biggest factors in reducing inequality between 1914 to 1945,
What haven't studies on income inequality sometimes found evidence confirming,
"The Kuznets curve says with economic development, inequality will increase after what",
Who accepts the notion of the Kuznets curve hypothesis,
What isn't Thomas Piketty's job,
What does Piketty feel was the biggest factors in reducing inequality between 1941 to 1945,
When were theories developed suggesting inequality may have some positive effect on economic development,
"According to a 1955 review, what were savings by the wealthy thought to offset",
What does a 2013 report on Nigeria suggest it's growth has done,
How long does it take for the effects to manifest as changes to economic growth,
What are longer growth spells associated with,
When were theories developed suggesting inequality may have some negative effect on economic development,
"According to a 1954 review, what were savings by the wealthy thought to offset",
What does a 2003 report on Nigeria suggest it's growth has done,
How long doesn't it take for the effects to manifest as changes to economic growth,
What are shorter growth spells associated with,
What needs to be made to ensure poorer members of society can participate in economic growth,
What can the growth elasticity of poverty depend on,
What does it take a country with high inequality longer to achieve,
What was Ban Ki-Moon the Secretary General of,
What isn't economic growth sufficient for progress on,
What needs to be made to ensure richer members of society can participate in economic growth,
What can the growth elasticity of poverty not depend on,
What doesn't it take a country with high inequality longer to achieve,
What was Ban Ki-Moon not the Secretary General of,
What isn't economic growth insufficient for progress on,
What is held outside the formal legal ownership registration system in many developing countries,
How is unregistered property held in informal form,
Excessive bureaucratic red tape is one of the reasons for what type of ownership,
In some countries over how many steps can it take to build on government land,
What can it sometimes take up to 14 years to get permission to build on,
What is held inside the formal legal ownership registration system in many developing countries,
How is registered property held in informal form,
Excessive bureaucratic red tape isn't one of the reasons for what type of ownership,
In all countries over how many steps can it take to build on government land,
What can it sometimes take up to 41 years to get permission to build on,
What do a number of researchers think a shortage of is caused in part by income inequality,
What decreased in number between 1984 and 1991,
Why did the demand for rentals decrease,
What drove increased rental prices in East New York,
What combined with ricing prices to make it difficult or impossible for poor people to keep pace,
What do a number of researchers think a shortage of isn't caused in part by income inequality,
What decreased in number between 1948 and 1991,
Why did the demand for rentals increase,
What drove decreased rental prices in East New York,
What combined with lowering prices to make it difficult or impossible for poor people to keep pace,
How are the certain costs which are difficult to avoid shared,
What are those with lower incomes often unable to manage,
What is the term when middle income earners aspire to obtain the same standards of living as people wealthier than themselves,
What is one method of achieving aspirational consumption,
"When people take on debt, it leads potentially to what",
How are the certain costs which are easy to avoid shared,
What are those with higher incomes often unable to manage,
What is the term when top income earners aspire to obtain the same standards of living as people wealthier than themselves,
What is one method of achieving perspirational consumption,
"When people get rid of debt, it leads potentially to what",
"When economic inequality is smaller, more waste and pollution is",
What would be lower if there were fewer people,
What does the current high level of population have a large impact on,
How could human inequality be addressed without resulting in an increase of environmental damage,
"When political inequality is smaller, more waste and pollution is",
What would be higher if there were fewer people,
What does the current low level of population have a large impact on,
"When economic inequality is larger, more waste and pollution is",
How could human inequality be addressed without resulting in an decrease of environmental damage,
What is the vast disparities in wealth attributed to by Socialists,
What does private ownership create a situation of,
What type of income is the vast majority of the population dependent on,
How do socialists think the means of production should be owned,
What would income differentials be if individual contributions were relevant to the social product,
What is the vast disparities in wealth not attributed to by Socialists,
What doesn't private ownership create a situation of,
What type of income is the vast majority of the population not dependent on,
How do socialists think the means of production shouldn't be owned,
What would income differentials be if individual contributions weren't relevant to the social product,
Who argues that the government redistributes wealth by force,
What is the usual form of the government's wealth redistribution? ,
"In an ideal moral society, what would all citizens be free from",
How were some modern economic inequalities created,
"When are inequalities in wealth justified, according to John Rawls",
Who argues that the government redistributes wealth by peace,
What is the unusual form of the government's wealth redistribution? ,
"In an ideal moral society, what would no citizens be free from",
How were some modern economic inequalities destroyed,
"When aren't inequalities in wealth justified, according to John Rawls",
What does the capabilities approach look at poverty as a form of,
"In the capabilities approach, grow and income are considered a means to an end rather than what",
What is the goal of the capabilities approach,
How would the capabilities approach achieve it's goal,
What is the definition of agency as it relates to capabilities? ,
What doesn't the capabilities approach look at poverty as a form of,
"In the capabilities approach, grow and income aren't considered a means to an end rather than what",
What is the goal of the incapabilities approach,
How wouldn't the capabilities approach achieve it's goal,
What is the definition of agency as it unrelates to incapabilities? ,
"What happens when a person's capabilities aer lowered, as it relates to their income",
"What can and old, ill man not do",
What issues may prevent women from working outside the home or receiving education,
Why would rampant violence prevent people from going to work,
"What can people work towards if they aren't denied their functionings, capabilities and agency",
"What happens when a person's capabilities aer raised, as it relates to their income",
"What can and old, ill man do",
What issues can't prevent women from working outside the home or receiving education,
Why wouldn't rampant violence prevent people from going to work,
"What can people work towards if they are denied their functionings, capabilities and agency",
What kind of university is the University of Chicago,
When was the University of Chicago established,
How many professional schools does the University of Chicago have,
How many academic research divisions does the University of Chicago have,
How many students does the University of Chicago have enlisted,
The city of Pritzker is home to which University,
"Nearly 7,000 students are enrolled where",
What was established in 1809,
"Other than UChicago or simply Chicago, what is another term for the University of Graham Business",
What types of other schools is the city of Harris well known for,
University of Chicago scholars played a major part in what development,
Who helped develop the first man-made self-sustaining nuclear reaction,
Where is the first man-made self-sustaining nuclear reaction located,
What is the name of the largest university press in the U.S,
In what year will the Barack Obama Presidential Center be finished,
What development has the University of Biological Physics played a lead role in,
What world's first did the religion department help to develop,
Under which field did the world's first synthetically produced nuclear reaction occur,
What is the name of the smallest university press in the US,
The Stagg Presidential Center is set to be finished in what year,
What society founded the University of Chicago,
What person helped establish the school with a donation,
Who was the first president of the University of Chicago,
What year was the university's first president given his position? ,
What year was the first class taught at the University of Chicago,
Who is known as the poorest man in all history,
In what year was the University of Maynard incorporated,
In what year did Robert Harper become the first president of the University,
In what year did the U of C become one of 7 founding members of the Association of Chicago Universities,
In what year were the last classes held in the university,
Who donated property to the University of Chicago,
Who helped pay for the university's first building structure? ,
What was the name of the first building built on campus grounds,
How much did Silas B. Cobb pledge to the university,
What is the name of the donor who helped establish the Hutchinson Commons,
In what year did the Walker Museum create and incorporate the U of C as a coed institution,
In what year did Clay Bartlett donate land by Marshall Field,
Who financed the original board of trustees,
"George C. Walker served as trustee, treasurer and donor of what",
It was outlined that who's donations could only be used for buildings,
"In 1890, who did the university decide to team up with",
What year did the university team up with Shimer College,
The university agreed to grant a degree to any graduate of affiliate schoos that did what,
